Source,i1Htr3a,E2/3,i2/3Pvalb,i2/3Sst,i2/3Htr3a,E4C,i4CPvalb,i4CSst,i4CHtr3a,E4AB,i4ABPvalb,i4ABSst,i4ABHtr3a,E5,i5Pvalb,i5Sst,i5Htr3a,E6,i6Pvalb,i6Sst,i6Htr3a
i1Htr3a,0.1419,0.0351,0.0396,0.0462,0.0626,0.0135,0.0000,0.0000,0.0000,0.0135,0.0000,0.0000,0.0000,0.0270,0.0000,0.0000,0.0000,0.0270,0.0000,0.0000,0.0000
E2/3,0.0000,0.0176,0.0591,0.0330,0.0440,0.0055,0.0242,0.0116,0.0158,0.0055,0.0241,0.0115,0.0157,0.0545,0.0462,0.0165,0.0000,0.0000,0.0000,0.0000,0.0000
i2/3Pvalb,0.0297,0.0324,0.0561,0.0330,0.0330,0.0189,0.0281,0.0165,0.0165,0.0189,0.0280,0.0165,0.0165,0.0135,0.0642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
i2/3Sst,0.0378,0.0401,0.0411,0.0113,0.0428,0.0101,0.0206,0.0057,0.0214,0.0100,0.0205,0.0056,0.0214,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
i2/3Htr3a,0.0000,0.0189,0.0147,0.0324,0.0297,0.0095,0.0074,0.0132,0.0149,0.0094,0.0073,0.0131,0.0148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
E4C,0.0000,0.0323,0.0136,0.0116,0.0158,0.0096,0.0220,0.0238,0.0083,0.0523,0.0220,0.0237,0.0082,0.0313,0.0209,0.0150,0.0158,0.0180,0.0000,0.0000,0.0000
i4CPvalb,0.0000,0.0222,0.0116,0.0083,0.0165,0.0216,0.0281,0.0165,0.0165,0.0215,0.0280,0.0165,0.0165,0.0243,0.0387,0.0000,0.0165,0.0000,0.0000,0.0000,0.0000
i4CSst,0.0156,0.0118,0.0163,0.0057,0.0132,0.0095,0.0206,0.0057,0.0170,0.0094,0.0205,0.0056,0.0169,0.0195,0.0182,0.0116,0.0214,0.0000,0.0000,0.0000,0.0000
i4CHtr3a,0.0000,0.0095,0.0074,0.0132,0.0149,0.0095,0.0074,0.0132,0.0149,0.0094,0.0073,0.0131,0.0148,0.0000,0.0074,0.0132,0.0149,0.0000,0.0000,0.0000,0.0000
E4AB,0.0000,0.0522,0.0136,0.0115,0.0157,0.0095,0.0220,0.0237,0.0082,0.0096,0.0220,0.0238,0.0083,0.0112,0.0208,0.0150,0.0157,0.0180,0.0000,0.0000,0.0000
i4ABPvalb,0.0000,0.0221,0.0115,0.0082,0.0165,0.0215,0.0280,0.0165,0.0165,0.0216,0.0281,0.0165,0.0165,0.0243,0.0387,0.0000,0.0165,0.0000,0.0000,0.0000,0.0000
i4ABSst,0.0156,0.0117,0.0163,0.0056,0.0131,0.0094,0.0205,0.0056,0.0169,0.0095,0.0206,0.0057,0.0170,0.0194,0.0181,0.0115,0.0214,0.0000,0.0000,0.0000,0.0000
i4ABHtr3a,0.0000,0.0094,0.0073,0.0131,0.0148,0.0094,0.0073,0.0131,0.0148,0.0095,0.0074,0.0132,0.0149,0.0000,0.0073,0.0131,0.0148,0.0000,0.0000,0.0000,0.0000
E5,0.0249,0.0156,0.0417,0.0165,0.0315,0.0068,0.0209,0.0083,0.0158,0.0067,0.0208,0.0082,0.0157,0.0194,0.0417,0.0450,0.0440,0.0335,0.0440,0.0365,0.0440
i5Pvalb,0.0000,0.0000,0.0411,0.0000,0.0000,0.0114,0.0165,0.0135,0.0135,0.0113,0.0165,0.0135,0.0135,0.0395,0.0530,0.0000,0.0600,0.0595,0.0330,0.0030,0.0000
i5Sst,0.0246,0.0162,0.0000,0.0312,0.0000,0.0095,0.0182,0.0116,0.0214,0.0094,0.0181,0.0115,0.0214,0.0274,0.0630,0.0330,0.0428,0.0174,0.0330,0.0030,0.0428
i5Htr3a,0.0000,0.0000,0.0000,0.0000,0.0000,0.0095,0.0074,0.0132,0.0149,0.0094,0.0073,0.0131,0.0148,0.0189,0.0147,0.0363,0.0197,0.0189,0.0147,0.0163,0.0297
E6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.0440,0.0165,0.0440,0.0436,0.0483,0.0515,0.0440
i6Pvalb,0.0000,0.0135,0.0000,0.0000,0.0000,0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,0.0000,0.0000,0.0201,0.0312,0.0000,0.0330,0.0540,0.0972,0.0030,0.0330
i6Sst,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0174,0.0165,0.0330,0.0428,0.0174,0.0330,0.0330,0.0428
i6Htr3a,0.0000,0.0000,0.0000,0.0000,0.0000,0.0095,0.0074,0.0132,0.0149,0.0094,0.0073,0.0131,0.0148,0.0189,0.0147,0.0263,0.0297,0.0189,0.0147,0.0363,0.0297