,VIP_L1,E_L23,PV_L23,SOM_L23,VIP_L23,E_L4AB,PV_L4AB,SOM_L4AB,VIP_L4AB,E_L4C,PV_L4C,SOM_L4C,VIP_L4C,E_L5,PV_L5,SOM_L5,VIP_L5,E_L6,PV_L6,SOM_L6,VIP_L6
VIP_L1,     0.190,0.210,0.030,0.120,0.220,0.200,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.200,0.000,0.000,0.000
E_L23,      0.000,0.055,0.180,0.040,0.200,0.017,0.054,0.012,0.042,0.000,0.000,0.000,0.000,0.065,0.180,0.024,0.084,0.065,0.180,0.000,0.0
PV_L23,     0.000,0.150,0.350,0.100,0.160,0.150,0.300,0.100,0.160,0.045,0.090,0.030,0.048,0.090,0.180,0.060,0.096,0.045,0.090,0.030,0.048
SOM_L23,    0.450,0.180,0.400,0.100,0.450,0.180,0.500,0.100,0.450,0.054,0.150,0.030,0.135,0.108,0.300,0.060,0.270,0.054,0.150,0.030,0.135
VIP_L23,    0.000,0.100,0.010,0.100,0.110,0.100,0.100,0.100,0.180,0.030,0.030,0.030,0.054,0.060,0.060,0.060,0.108,0.030,0.030,0.030,0.054
E_L4AB,     0.000,0.065,0.180,0.040,0.140,0.033,0.108,0.054,0.104,0.017,0.054,0.012,0.042,0.065,0.180,0.024,0.084,0.065,0.180,0.012,0.042
PV_L4AB,    0.000,0.090,0.180,0.060,0.096,0.150,0.350,0.100,0.160,0.090,0.180,0.060,0.096,0.090,0.180,0.060,0.096,0.090,0.180,0.060,0.096
SOM_L4AB,   0.400,0.108,0.220,0.060,0.270,0.180,0.500,0.100,0.150,0.108,0.300,0.060,0.270,0.108,0.300,0.060,0.270,0.108,0.300,0.060,0.27
VIP_L4AB,   0.000,0.060,0.060,0.060,0.108,0.100,0.100,0.180,0.100,0.060,0.060,0.060,0.108,0.060,0.060,0.060,0.108,0.060,0.060,0.060,0.108
E_L4C,      0.000,0.065,0.180,0.040,0.140,0.065,0.140,0.040,0.084,0.033,0.108,0.024,0.140,0.017,0.054,0.012,0.042,0.017,0.054,0.012,0.042
PV_L4C,     0.000,0.045,0.090,0.030,0.048,0.090,0.180,0.060,0.096,0.150,0.300,0.100,0.160,0.090,0.180,0.060,0.096,0.090,0.180,0.060,0.096
SOM_L4C,    0.390,0.054,0.150,0.030,0.135,0.108,0.300,0.060,0.270,0.180,0.350,0.100,0.450,0.108,0.300,0.060,0.270,0.108,0.300,0.060,0.27
VIP_L4C,    0.000,0.030,0.030,0.030,0.054,0.060,0.060,0.060,0.108,0.100,0.100,0.100,0.180,0.060,0.060,0.060,0.108,0.060,0.060,0.060,0.108
E_L5,       0.000,0.033,0.108,0.024,0.084,0.033,0.108,0.024,0.084,0.017,0.054,0.012,0.042,0.055,0.180,0.040,0.200,0.033,0.108,0.024,0.084
PV_L5,      0.000,0.090,0.180,0.060,0.096,0.090,0.180,0.060,0.096,0.090,0.180,0.060,0.096,0.150,0.300,0.100,0.160,0.150,0.300,0.000,0.16
SOM_L5,     0.371,0.108,0.300,0.060,0.270,0.108,0.300,0.060,0.270,0.108,0.300,0.060,0.270,0.180,0.500,0.100,0.450,0.180,0.500,0.000,0.45
VIP_L5,     0.000,0.060,0.060,0.060,0.108,0.060,0.060,0.060,0.108,0.060,0.060,0.060,0.108,0.100,0.100,0.100,0.180,0.100,0.100,0.100,0.18
E_L6,       0.000,0.055,0.180,0.040,0.140,0.055,0.180,0.040,0.140,0.055,0.180,0.040,0.140,0.017,0.054,0.012,0.042,0.055,0.180,0.120,0.14
PV_L6,      0.000,0.150,0.300,0.100,0.160,0.150,0.300,0.100,0.160,0.150,0.300,0.100,0.160,0.090,0.180,0.060,0.096,0.130,0.400,0.000,0.16
SOM_L6,     0.000,0.180,0.500,0.100,0.450,0.180,0.500,0.100,0.450,0.180,0.500,0.100,0.450,0.108,0.300,0.060,0.270,0.180,0.500,0.000,0.45
VIP_L6,     0.000,0.100,0.100,0.100,0.180,0.100,0.100,0.100,0.180,0.100,0.100,0.100,0.180,0.060,0.060,0.060,0.108,0.100,0.010,0.100,0.18