Source,E_L23,PV_L23,SOM_L23,VIP_L23,E_L4AB,PV_L4AB,SOM_L4AB,VIP_L4AB,E_L4C,PV_L4C,SOM_L4C,VIP_L4C,E_L5,PV_L5,SOM_L5,VIP_L5,E_L6,PV_L6,SOM_L6,VIP_L6
E_L23,0.26,0.5,0.18,0.1,0.006,0.012,0.008,0.006,0.0,0.0,0.0,0.0,0.065,0.04,0.028,0.02,0.018,0.012,0.008,0.006
PV_L23,0.3,0.48,0.06,0.18,0.008,0.01,0.004,0.004,0.0,0.0,0.0,0.0,0.01,0.012,0.006,0.005,0.0025,0.004,0.0025,0.0015
SOM_L23,0.2,0.5,0.0,0.5,0.006,0.008,0.0,0.006,0.0,0.0,0.0,0.0,0.012,0.01,0.0,0.008,0.004,0.005,0.0,0.004
VIP_L23,0.08,0.08,0.65,0.12,0.0015,0.0015,0.012,0.0025,0.0,0.0,0.0,0.0,0.0025,0.0025,0.015,0.004,0.0008,0.0012,0.006,0.0015
E_L4AB,0.055,0.035,0.025,0.02,0.08,0.3,0.26,0.18,0.005,0.006,0.005,0.004,0.04,0.028,0.018,0.015,0.012,0.008,0.005,0.004
PV_L4AB,0.01,0.012,0.006,0.005,0.5,0.45,0.04,0.2,0.005,0.006,0.004,0.003,0.008,0.01,0.005,0.004,0.0025,0.004,0.0025,0.0015
SOM_L4AB,0.012,0.01,0.0,0.008,0.28,0.28,0.0,0.18,0.004,0.005,0.0,0.004,0.008,0.006,0.0,0.006,0.003,0.004,0.0,0.003
VIP_L4AB,0.0025,0.0025,0.02,0.004,0.1,0.1,0.58,0.1,0.0015,0.0015,0.012,0.0025,0.0025,0.0025,0.015,0.004,0.0012,0.0012,0.006,0.0015
E_L4C,0.055,0.065,0.04,0.032,0.11,0.06,0.045,0.035,0.075,0.26,0.28,0.2,0.055,0.035,0.025,0.016,0.022,0.015,0.01,0.008
PV_L4C,0.006,0.008,0.004,0.003,0.008,0.01,0.005,0.004,0.5,0.38,0.05,0.2,0.005,0.006,0.004,0.003,0.004,0.005,0.003,0.0025
SOM_L4C,0.01,0.008,0.0,0.006,0.01,0.008,0.0,0.006,0.3,0.3,0.0,0.2,0.006,0.005,0.0,0.005,0.004,0.004,0.0,0.003
VIP_L4C,0.0025,0.0025,0.02,0.004,0.0025,0.0025,0.02,0.004,0.1,0.1,0.6,0.1,0.002,0.002,0.014,0.003,0.0012,0.0012,0.006,0.0015
E_L5,0.028,0.018,0.012,0.01,0.02,0.014,0.008,0.006,0.012,0.008,0.005,0.004,0.09,0.28,0.28,0.2,0.045,0.03,0.022,0.018
PV_L5,0.005,0.006,0.003,0.0025,0.004,0.005,0.0025,0.002,0.003,0.004,0.0025,0.002,0.48,0.42,0.06,0.18,0.008,0.01,0.005,0.004
SOM_L5,0.008,0.006,0.0,0.006,0.006,0.005,0.0,0.005,0.004,0.004,0.0,0.004,0.35,0.3,0.0,0.22,0.012,0.01,0.0,0.008
VIP_L5,0.0025,0.0025,0.02,0.004,0.002,0.002,0.015,0.003,0.0015,0.0015,0.012,0.0025,0.12,0.12,0.62,0.12,0.004,0.004,0.025,0.005
E_L6,0.014,0.008,0.006,0.005,0.012,0.008,0.005,0.004,0.05,0.035,0.025,0.02,0.035,0.022,0.016,0.012,0.08,0.24,0.26,0.18
PV_L6,0.0025,0.003,0.0015,0.0012,0.003,0.004,0.002,0.0015,0.008,0.01,0.005,0.004,0.006,0.008,0.004,0.003,0.5,0.45,0.04,0.22
SOM_L6,0.006,0.005,0.0,0.004,0.005,0.004,0.0,0.004,0.01,0.008,0.0,0.006,0.01,0.008,0.0,0.006,0.32,0.32,0.0,0.25
VIP_L6,0.0015,0.0015,0.012,0.0025,0.0015,0.0015,0.012,0.0025,0.003,0.003,0.02,0.004,0.004,0.004,0.025,0.005,0.12,0.12,0.6,0.12